nameOfCamp,amountReached,goalOfCamp,category,dateCreated,peopleDonated,numberOfDays,locationCity,locationState,socialMediaShares,NumberOfFbComments,NumberOfUpdates
Buses for March for Marriage,"$43,612","$50,000",Community," April 10, 2015",426,17,WASHINGTON,DC,3300,,5
Save the Red Key Tavern's Neon Sign,"$9,723","$14,000",Community," October 9, 2015",224,11,INDIANAPOLIS,IN,2500,3,13
Fundraiser for WeatherNJ Legal Fees,"$15,027","$15,000",Community," October 14, 2015",548,11,BARNEGAT,NJ,3600,15,3
Porpoise Pub Fund,"$5,070","$50,000",Community," October 19, 2015",76,11,LARGO,FL,2500,6,3
Israel's Plight In Full Page NYT Ad,"$34,651","$33,000",Community," October 8, 2015",859,11,NEW YORK,NY,11000,25,10
SAM FOLTZ STATUE,"$11,506","$10,000",Community," July 25, 2016",381,2,BENNINGTON,NE,3400,13,6
"Save The Rink, Save the Floor","$11,535","$85,000",Community," July 14, 2016",235,2,PALATINE,IL,3300,3,13
This Angel needs wheels! ,"$5,155","$5,000",Community," August 26, 2016",197,1,KOKOMO,IN,2800,12,1
Relief for Fidencio the paleta man,"$384,290","$3,000",Community," September 9, 2016","17,447",15,CHICAGO,IL,120000,556,10
Little Boy's Museum is 35 in 2016!,"$1,791","$10,000",Community," March 7, 2015",30,18,HOWES CAVE,NY,2400,1,15
Pride's Corner Drive-In,"$1,575","$100,000",Community," March 19, 2014",48,30,WESTBROOK,ME,2400,7,8
Plastic to Fuel Conversion,"$7,215","$40,000",Community," July 28, 2015",88,14,SANTA CRUZ,CA,2400,5,11
House of Consciousness  ,"$1,536","$8,000",Community," July 15, 2014",32,26,NORFOLK,VA,2400,1,8
MD Anderson Costume Campaign,"$14,289","$15,000",Community," October 2, 2015",360,11,HOUSTON,TX,2300,4,16
Emily Carson ,"$20,770","$20,000",Community," February 24, 2016",341,7,GENEVA,NY,2300,4,4
Help me build a community ,"$5,058","$25,000",Community," July 18, 2014",164,26,COLUMBUS,OH,2300,,69
Keep the Home for Yanni (and Anne),"$2,995","$4,500",Community," July 9, 2015",88,14,RENO,NV,2300,50,
Zoruan Otto Harris' Child Care Fund,"$6,500","$100,000",Community," September 18, 2016",93,7,WASHINGTON,DC,892000,,2
Burnside Skatepark,"$33,429","$40,000",Community," October 26, 2014",384,23,PORTLAND,OR,2200,5,6
Stop the Spraying Billboards,"$5,430","$10,000",Community," November 15, 2014",107,22,OXFORD,GA,2200,4,5
RenFest Merchant Recovery Fund,"$4,905","$30,000",Community," August 18, 2016",89,1,HAMMOND,LA,2200,4,4
"Our Glass House, Cincinnati, Ohio","$67,855","$5,000",Community," June 4, 2015","3,098",15,CINCINNATI,OH,2200,152,
Old Marietta FB Page Research,"$4,085","$6,000",Community," July 23, 2013",106,38,MARIETTA,GA,2100,4,47
Anti-Trump Poster by Robbie Conal,"$11,704","$8,500",Community," July 25, 2016",191,2,LOS OSOS,CA,2000,4,4
Philly Awakening,$205,"$5,000",Community," April 11, 2016",8,5,DAHLONEGA,GA,2100,,3
Honoring Our Fallen Memorial Wall,"$15,966","$50,000",Community," April 7, 2016",253,5,CYPRESS,CA,1500,6,1
Support for Teressa! We Love YOU!,"$9,434","$15,000",Community," June 12, 2015",172,15,PORTLAND,OR,1200,3,19
"Save Black Boys Life Center ""ARK""","$6,438","$250,000",Community," March 1, 2015",170,19,Rancho Dominguez,CA,1500,1,1
#SaveTheRitz,"$1,725","$30,000",Community," July 22, 2015",31,14,MALVERN,AR,1500,1,6
"Natural Building, Pine Ridge reservation","$6,980","$40,000",Community," June 14, 2014",164,27,PINE RIDGE,SD,1500,2,44
Petition for Judicial Review,"$1,454","$2,000",Community," March 9, 2014",44,31,DES MOINES,IA,1500,2,57
Handicap Ramp for Colleen BaldEagle,"$1,135","$2,500",Community," January 14, 2016",24,8,MARTIN,SD,1500,1,
Sue and Robin's Christmas Display,$775,"$1,000",Community," December 16, 2015",34,9,HAMILTON,OH,1500,1,8
Make Cleveland Pride 2016 a Reality,"$1,516","$20,000",Community," July 29, 2016",36,1,CLEVELAND,OH,1500,2,1
Save Claddagh Cottage Irish Pub,"$13,762","$100,000",Community," August 4, 2016",90,1,ORLANDO,FL,1500,2,1
Indigenous Healing Camp  #NoDAPL,"$4,235","$6,000",Community," September 2, 2016",79,23,EUGENE,OR,1300,3,5
Terror on the Square water main,"$9,035","$8,200",Community," December 29, 2015",197,9,PETERSBURG,IL,1500,1,5
Help Fund Our Revolution Today,"$2,151","$5,000",Community," May 26, 2016",96,4,EVERETT,WA,1500,6,
Help LeeAnn's Dairy Delight rebuild,"$8,000","$12,000",Community," December 23, 2015",122,9,SPRINGFIELD,OH,1400,,8
Help Save Our Neighborhood,"$16,095","$100,000",Community," December 10, 2015",118,9,TILLAMOOK,OR,1400,2,7
A car for Ms Lively,"$7,810","$10,000",Community," March 1, 2016",107,6,FAYETTEVILLE,NC,1400,6,7
Porter Family House Fund,"$10,062","$10,000",Community," August 3, 2016",66,1,CLEARFIELD,UT,1400,4,1
"Help Save Historic New Castle, Pa ","$1,485","$10,000",Community," April 28, 2016",26,4,NEW CASTLE,PA,1400,11,8
Fredericksburg Skatepark Project,"$1,660","$10,000",Community," March 9, 2015",31,18,FREDERICKSBURG,VA,1300,2,3
"Bruce Simmons, wounded 7-17-16","$9,200","$10,000",Community," July 27, 2016",134,1,GREENWELL SPRINGS,LA,1200,2,35
Thrill Hill Radio ,"$1,895","$25,000",Community," May 1, 2014",61,29,RALEIGH,NC,1200,1,64
E Pluribus Unum Marketing fund,"$1,205","$3,000",Community," January 11, 2016",42,8,GRANITE FALLS,WA,1200,1,3
Keep Al Golden Banner campaign,"$1,025","$2,013",Community," September 19, 2015",33,12,ALBANY,GA,1200,11,4
Help Rescue & Rehabilitate Wildlife,"$8,612","$20,000",Community," July 15, 2014",145,26,MCCLELLAN,CA,1100,1,
Equality Florida Fund,$490,"$250,000",Community," September 23, 2016",20,2,SAINT PETERSBURG,FL,23000,,
Lunch Fund for Students,"$1,561","$10,000",Community," February 4, 2016",58,7,RICHLANDS,VA,1200,13,6
Sarstoon Island Peace Pilgrimage,"$1,611","$10,000",Community," April 2, 2016",37,5,RIVERSIDE,CA,1200,1,10
"Grace ""Luci"" Riley CD 11 Delegate!","$3,384","$5,000",Community," June 28, 2016",89,2,EL SOBRANTE,CA,1100,,9
A Virtual Safe House For Women,"$9,199","$10,000",Community," January 12, 2016",243,8,CHICAGO,IL,1100,14,1
Stevensville Montana Skate Park,"$154,016","$225,000",Community," September 28, 2014",53,24,STEVENSVILLE,MT,1100,2,56
Miss Ghana Tourism USA,$620,$700,Competitions," August 26, 2016",14,1,COLUMBUS,OH,452000,2,
My Miss Massachusetts USA 2017 Fund,$535,"$2,095",Competitions," April 13, 2016",16,5,FRAMINGHAM,MA,295000,,14
Miss Maine USA 2017,"$1,000","$3,500",Competitions," July 16, 2014",26,26,PORTLAND,ME,280000,,1
Miss CA USA 2017,$575,"$2,500",Competitions," February 10, 2014",9,31,BAKERSFIELD,CA,604000,,9
Miss ND USA 2017,$155,"$1,000",Competitions," September 20, 2016",6,5,FARGO,ND,84000,,
Ashley Wade Miss DC USA 2017,$345,"$2,500",Competitions," September 22, 2016",9,3,WASHINGTON,DC,375000,,
2017 MISS CALIFORNIA USA,$545,"$3,500",Competitions," July 24, 2016",14,2,LOS ANGELES,CA,3300,,8
Nebraska Teen USA 2017,$490,"$1,500",Competitions," September 6, 2016",12,19,CRETE,NE,275000,,
2016 USA World Field Archery Team,"$2,140","$4,000",Competitions," July 4, 2016",33,2,MANDAN,ND,270000,,4
Future Miss Tennessee Teen USA 2017,$800,"$1,260",Competitions," August 4, 2016",20,1,CORDOVA,TN,277000,,8
Journey to Mrs. Hawaii USA,"$1,635","$2,700",Competitions," February 24, 2016",23,7,KAILUA KONA,HI,353000,2,11
Jaiden Rose-Miss Kansas Teen USA,$635,"$2,500",Competitions," September 12, 2016",10,13,OLATHE,KS,66000,,2
Miss New York USA Sponsorship ,$640,"$1,500",Competitions," August 9, 2016",12,1,STATEN ISLAND,NY,47000,,1
Heather Riley for Miss US Int'l,"$1,380","$5,000",Competitions," April 13, 2015",30,17,ALBANY,NY,935000,,5
Miss Black North Carolina USA 2015,"$2,745","$3,500",Competitions," January 2, 2015",76,21,WHITSETT,NC,333000,,
Maria&Kelsey; for Miss Maryland USA,$343,"$2,400",Competitions," August 19, 2016",12,1,ANNAPOLIS,MD,92000,,1
Miss Teen  NJ USA  Pageant,$335,"$1,200",Competitions," August 30, 2016",4,25,MILLBURN,NJ,75000,,2
Miss Downtown Missoula USA ,"$1,050","$1,000",Competitions," July 26, 2016",14,2,MISSOULA,MT,211000,2,
Miss Black Ohio USA 2016,$290,"$5,500",Competitions," November 1, 2015",11,10,LEXINGTON,KY,354000,,4
Miss Clark County Teen USA,$510,"$1,500",Competitions," August 14, 2016",12,1,VANCOUVER,WA,93000,,2
Send Bailey to IMTA!,$135,"$2,500",Competitions," September 19, 2016",7,5,OLYMPIA,WA,108000,,
Alana's Journey to the Crown,$436,"$2,500",Competitions," August 29, 2016",7,26,LEHIGHTON,PA,151000,,1
Help Me Become Miss Maryland 2017!,$180,"$1,200",Competitions," September 21, 2016",7,4,BALTIMORE,MD,100000,,
Miss Mississippi Teen Pageant ,$130,"$2,500",Competitions," September 16, 2016",5,9,GULFPORT,MS,176000,,
Yanelis is headed to Nationals!,$335,"$5,000",Competitions," September 7, 2016",7,18,DENVER,CO,69000,,1
Help Rylie Get To Florida!,"$2,430","$2,500",Competitions," February 2, 2016",29,7,CHATSWORTH,CA,169000,,2
Miss Garden State going to Nationals,$220,"$3,000",Competitions," September 19, 2016",6,6,BRONX,NY,85000,,
Help Me Win The Crown.. MSFFNC,$450,"$2,500",Competitions," June 14, 2016",16,3,KINSTON,NC,164000,,11
Mya for Miss Hillside,$625,"$10,000",Competitions," August 30, 2016",13,26,DURHAM,NC,80000,,
Miss WI Teen USA Pageant,$725,"$3,000",Competitions," August 11, 2014",16,25,PLYMOUTH,WI,94000,,
Help Kamisha Become   Miss Black USA !,"$1,855","$4,400",Competitions," February 20, 2014",33,31,BROCKTON,MA,228000,,3
2014 Miss Teen Nevada USA  ,"$2,255","$5,000",Competitions," December 8, 2013",36,34,INCLINE VILLAGE,NV,239000,2,4
Mekayla Diehl- Miss IN USA for Miss USA,"$3,240","$8,000",Competitions," April 4, 2014",18,30,BRISTOL,IN,446000,,3
"Miss Black Virginia USA 2013, Natasha Stovall  ","$3,330","$5,000",Competitions," June 4, 2012",44,52,ALEXANDRIA,VA,223000,,10
Mrs VA USA Earth to Nationals,$380,"$2,000",Competitions," March 12, 2014",7,30,MAX MEADOWS,VA,102000,,8
Courtney Conklin for Miss New Jersey USA,$457,"$1,500",Competitions," September 8, 2013",9,37,HIGHTSTOWN,NJ,760000,,3
Miss Chattanooga USA,"$2,485","$3,925",Competitions," August 7, 2015",20,13,HIXSON,TN,187000,,
Miss Oklahoma USA 2017,"$1,652","$2,000",Competitions," June 24, 2016",6,3,NORMAN,OK,130000,,
Miss Sevierville Teen USA 2017,$230,"$1,195",Competitions," September 6, 2016",5,19,SEVIERVILLE,TN,54000,,1
Blackburn Spencer Pageant!,$585,"$1,000",Competitions," September 10, 2016",22,15,CINCINNATI,OH,39000,,1
Miss Maryland Teen Fundraiser,$535,"$1,500",Competitions," September 21, 2016",6,4,UPPER MARLBORO,MD,42000,,1
Help PJ get to Nationals...again!,"$1,136","$1,500",Competitions," April 6, 2016",16,5,CONCORD,CA,108000,,4
Send Alyssa To TKD Nationals,"$1,325","$2,000",Competitions," June 22, 2016",13,3,CYPRESS,TX,53000,1,2
Asia's Miss New Tech Fund ,$200,"$3,000",Competitions," September 14, 2016",5,11,DURHAM,NC,44000,,4
Support Dimana to be Miss Arab USA,$210,"$1,500",Competitions," July 16, 2014",5,26,PHOENIX,AZ,376000,,2
,$940,"$5,000",Competitions," April 24, 2014",8,29,SAN DIEGO,CA,211000,,1
Miss Black Chicago USA 2014  ,$700,$700,Competitions," April 13, 2013",18,42,CHICAGO,IL,137000,,
Miss Arizona USA 2014- Miss East Valley ,"$1,200","$1,200",Competitions," August 4, 2013",14,38,TUCSON,AZ,183000,,4
Miss Teen Ohio USA,$650,"$2,500",Competitions," July 27, 2014",11,26,HILLIARD,OH,163000,1,10
Miss Washington USA ,"$1,140","$1,595",Competitions," August 18, 2013",12,37,RENTON,WA,204000,1,8
Miss Oklahoma USA 2017,$210,"$1,200",Competitions," August 15, 2016",4,1,ENID,OK,34000,,
Miss Ghana USA Finalist,"$1,285","$3,000",Competitions," April 29, 2014",16,29,BELLE MEAD,NJ,117000,,
Miss Missouri Teen USA Pageant,$275,"$1,200",Competitions," August 5, 2014",6,26,63040- Wildwood,MO,279000,1,4
Brittany's Miss Nevada USA Fund :),$720,"$1,500",Competitions," October 17, 2014",13,23,LAS VEGAS,NV,123000,,
Sherri Nichole for Miss NY USA 2015,"$1,980","$4,000",Competitions," December 15, 2014",16,21,NEW YORK,NY,36000,,3
"Miss Black GA USA 2014, Nakeia Staley  ","$1,010","$5,000",Competitions," August 16, 2013",8,37,STOCKBRIDGE,GA,84000,,6
Miss Maryland USA 2015,"$1,010","$2,500",Competitions," July 6, 2013",15,39,ELLICOTT CITY,MD,63000,,1
Miss Vermont USA 2014 ,$980,"$1,200",Competitions," September 16, 2013",14,36,ESSEX JUNCTION,VT,63000,,2
Andrea Fox for Miss Dallas USA 2014,$870,"$3,000",Competitions," February 21, 2014",11,31,PLANO,TX,63000,,
Audrey Knox for Miss North Hollywood USA,$170,"$1,500",Competitions," July 28, 2014",7,26,NORTH HOLLYWOOD,CA,100000,,8
GO BULLS GO! Help send us to Nationals! ,$660,"$1,500",Competitions," February 18, 2013",22,43,DURHAM,NC,50000,5,
My road to Miss California USA,$125,"$2,000",Competitions," July 22, 2016",3,2,STOCKTON,CA,26000,,
Miss RI USA 2015,$980,"$1,000",Competitions," June 11, 2014",15,27,WARWICK,RI,49000,,
Help Us Send Maiya Bowen to Florida  ,$420,"$5,203",Competitions," May 1, 2013",12,41,CONCORD,MA,73000,,13
Miss CT USA 2015,$260,"$2,500",Competitions," August 16, 2013",6,37,DANBURY,CT,65000,,5
Miss Wyoming USA 2016,$925,"$1,500",Competitions," March 3, 2015",7,19,ROCK SPRINGS,WY,32000,,
"Brielle Oakes, Miss Colorado USA 2011",$800,"$1,000",Competitions," October 9, 2011",11,60,FORT COLLINS,CO,72000,1,4
On My Way 2 Miss Gay USofA @ Large,$285,"$2,000",Competitions," June 3, 2014",6,28,SAN ANTONIO,TX,63000,1,
Team USA Cheerleading ,$840,$750,Competitions," March 2, 2013",10,43,LAKE GROVE,NY,59000,,
Miss New Hampshire USA Pageant,$825,"$1,000",Competitions," December 19, 2014",13,21,KEENE,NH,24000,,
Miss Colorado Teen USA 2013,$453,$550,Competitions," June 29, 2012",7,51,BOULDER,CO,96000,1,10
Miss USA,$475,$840,Competitions," February 12, 2014",12,31,DES MOINES,IA,37000,11,8
Miss New Hampshire USA 2015,$525,"$1,300",Competitions," August 25, 2014",8,25,PELHAM,NH,46000,1,
Ms. Wheelchair Wisconsin trip,$50,$400,Competitions," September 21, 2016",1,3,WAUKESHA,WI,41000,,1
Jessica's Journey ,$40,$500,Competitions," September 23, 2016",2,1,TUSCALOOSA,AL,52000,,
Myra's Dance Competition Donations,$50,"$2,500",Competitions," September 24, 2016",2,1,WEST COVINA,CA,7000,,
Cheer Camp for Monji,$18,$400,Competitions," July 23, 2016",2,2,COLUMBIA,SC,13000,,
Send Elisa and Johnny to Burghley,"$11,445",$19.50,Competitions," July 21, 2016",150,2,JASPER,GA,2900,2,2
Miss Texas USA,"$1,640","$2,500",Competitions," March 14, 2016",18,6,,,669000,,4
Miss CA USA 2017,$575,"$2,500",Competitions," February 10, 2014",9,31,BAKERSFIELD,CA,604000,,9
 Pro card journey,$825,"$2,500",Competitions," August 20, 2016",16,1,RIVERVIEW,FL,663000,1,5
Miss New York USA,"$3,750","$3,000",Competitions," July 27, 2015",58,14,NEW YORK,NY,630000,,
Send Cheppi to Fuertaventura PWA,"$2,600","$2,500",Competitions," May 24, 2016",39,4,HENDERSON,NV,619000,,4
iRun4Joe - GO JOE GO!!!,"$10,684","$10,000",Competitions," May 13, 2016",77,4,MINNEAPOLIS,MN,618000,,2
Miss Africa USA Finalist- Nigeria,$670,"$4,000",Competitions," July 11, 2016",15,2,SAN MARCOS,TX,614000,,
Krystal Fernandez #21 BP-USA 2016,"$1,360","$2,000",Competitions," June 15, 2016",44,3,IRVINE,CA,615000,,
Send Kelsey2 Miss Amazing Nationals,"$1,840","$2,000",Competitions," April 14, 2016",64,5,NORTHAMPTON,PA,576000,,3
Team 1257 FRC Worlds Fundraising,"$10,240","$10,000",Competitions," April 7, 2016",121,5,SCOTCH PLAINS,NJ,575000,,2
Mrs. WV's Road to Mrs. America,"$1,300","$5,000",Competitions," April 21, 2016",21,5,ARTHURDALE,WV,477000,,
Miss Louisiana Plus America 16',$310,"$3,500",Competitions," April 26, 2016",10,5,STERLINGTON,LA,474000,,15
NPCA's National Championship Alaska,"$2,840","$5,000",Competitions," March 17, 2016",51,6,,,465000,1,2
Miss Kansas-USA 2016 Pageant ,"$1,210","$1,500",Competitions," June 16, 2015",18,15,AUGUSTA,KS,464000,,5
NPC Muscle Mafia WV Grand Prix2015 ,"$1,605","$2,500",Competitions," May 28, 2015",24,16,SCOTT DEPOT,WV,465000,,19
Mrs Indonesia Mulyawati Mc Lain,"$1,078","$2,000",Competitions," April 16, 2015",14,17,VAN NUYS,CA,461000,1,3
Jeannette's Journey 2 WBFF World's,"$1,280","$5,000",Competitions," July 12, 2016",20,2,ORLANDO,FL,460000,,
My Miss Colorado Pageant Fund,"$2,005","$2,000",Competitions," July 6, 2015",24,14,COLORADO SPRINGS,CO,451000,,9
Chelsea Boone for Miss MD USA 2017,$240,"$3,000",Competitions," May 20, 2016",5,4,GLENN DALE,MD,451000,,
Send PaulStephen 2 the Jr. Olympics,"$3,337","$3,500",Competitions," June 18, 2016",47,3,NEWPORT NEWS,VA,449000,,13
Ashley's headed to Miss CO Teen USA,$495,"$1,500",Competitions," July 13, 2016",9,2,LITTLETON,CO,338000,1,5
Domonique Jones for Miss California,$160,"$2,500",Competitions," August 18, 2016",8,1,HERCULES,CA,449000,,
Shaw Univ.  Alumni Queen Contest,"$4,405",$22.50,Competitions," November 1, 2014",64,23,UPPER MARLBORO,MD,446000,2,9
Miss CA USA / Education,$905,"$25,000",Competitions," April 17, 2016",9,5,SIMI VALLEY,CA,442000,,1
Lyndsy's Miss Amazing national trip,"$1,240","$2,500",Competitions," May 24, 2016",27,4,ASHLAND,NH,444000,,4
Help Bethany Get To Nationals :)  ,"$2,162","$3,777",Competitions," July 20, 2015",22,14,LONG BEACH,MS,436000,,18
Binibining Pilipinas USA 2016,$925,"$2,500",Competitions," May 24, 2016",25,4,LOS ANGELES,CA,434000,1,1
MISS TEEN RHODE ISLAND LATINA,"$1,090",$900,Competitions," June 16, 2016",22,3,PROVIDENCE,RI,432000,,3
Miss Wisconsin USA 2017,"$1,435","$2,500",Competitions," February 11, 2016",23,7,FREDERIC,WI,433000,1,41
USATF Jr. Olympics ,"$3,185","$4,000",Competitions," May 15, 2016",46,4,HOUSTON,TX,422000,,1
Gear It Forward 2338 Robotics Trip ,"$3,400","$10,000",Competitions," November 19, 2015",42,10,,,395000,,
Miss Massachusetts USA Sponsorship,"$1,355","$1,500",Competitions," March 26, 2016",25,6,,,389000,,2
Miss Africa USA,$300,"$2,000",Competitions," April 4, 2016",5,5,,,386000,1,2
Journey to The Dance Summit 2016,"$3,600","$3,500",Competitions," February 24, 2016",91,7,SAN FRANCISCO,CA,387000,1,8
Nationals Bound,"$1,205","$3,000",Competitions," July 7, 2015",23,14,GREEN COVE SPRINGS,FL,388000,,2
My Journey to Miss TN Teen USA,"$2,715","$3,000",Competitions," August 4, 2016",33,1,SIGNAL MOUNTAIN,TN,382000,,1
Miss Henderson State University ,$460,"$5,000",Competitions," May 1, 2016",11,4,ARKADELPHIA,AR,381000,,
Miss Idaho Intercontinental 2016,"$1,908","$3,500",Competitions," March 17, 2016",26,6,BOISE,ID,373000,,9
Help Gilbert march his Age out !!!,"$1,551","$3,500",Competitions," September 23, 2015",40,12,DENTON,TX,377000,,1
Get us to the World Championships,"$1,734","$30,000",Competitions," June 28, 2016",31,2,NEW BEDFORD,MA,270000,,
Junior World Championship in Canada,$440,"$4,000",Competitions," March 27, 2015",8,18,POWDER SPRINGS,GA,364000,,
Help me Help others...,"$2,380","$15,000",Competitions," March 10, 2016",43,6,,,364000,,2
Mrs. International 2016,"$1,360","$2,500",Competitions," November 7, 2015",21,10,GREENVILLE,NC,369000,1,20
Crowning Achievements,$456,$750,Competitions," September 1, 2016",10,24,SEATTLE,WA,114000,,4
Miss Kansas USA 2017 ,$365,"$1,500",Competitions," September 6, 2016",7,19,LAWRENCE,KS,367000,,
Sydney Benson - Miss Missouri Teen,"$1,500","$1,700",Competitions," June 18, 2015",18,15,SAINT CHARLES,MO,361000,,8
Little Miss AKA 2016 ~MaKayla~,$420,"$1,500",Competitions," April 12, 2016",12,5,WHITES CREEK,TN,356000,,5
Journey to Mrs. Hawaii USA,"$1,635","$2,700",Competitions," February 24, 2016",23,7,KAILUA KONA,HI,353000,2,11
Miss Black Wisconsin USA 2016,"$3,455","$4,000",Competitions," November 18, 2015",45,10,MILWAUKEE,WI,351000,,12
Miss Black Ohio USA 2016,$290,"$5,500",Competitions," November 1, 2015",11,10,LEXINGTON,KY,354000,,4
Miss Black Ohio USA 2016,$290,"$5,500",Competitions," November 1, 2015",11,10,LEXINGTON,KY,354000,,4
Miss Black Wisconsin USA 2016,"$3,455","$4,000",Competitions," November 18, 2015",45,10,MILWAUKEE,WI,351000,,12
Send Fred to DC,$540,"$5,000",Competitions," June 28, 2016",16,2,MIAMI,FL,352000,,
Lakhena's Journey to National!!!,"$1,755","$2,000",Competitions," September 10, 2016",36,15,LONG BEACH,CA,296000,1,
2016 Miss PA U.S. Supranational ,$870,"$2,000",Competitions," January 27, 2016",15,8,READING,PA,347000,,3
Let's Get Keifer To Ohio!,"$2,115","$3,000",Competitions," August 23, 2016",11,1,CORPUS CHRISTI,TX,239000,,10
Miss Montana USA 2017,"$1,230","$1,194",Competitions," February 9, 2016",25,7,BOZEMAN,MT,336000,1,2
State finalist for Pageant,$365,$575,Competitions," May 19, 2016",8,4,HARRISBURG,PA,337000,,2
Becoming Queen: Mrs. Utah US 2016,$853,"$1,500",Competitions," April 12, 2016",17,5,KAYSVILLE,UT,242000,,4
Maelstrom Team 3846 Robotics,"$3,470","$5,000",Competitions," February 14, 2016",58,7,TAMPA,FL,337000,,4
,$195,$663,Competitions," July 28, 2016",5,1,TANEYTOWN,MD,341000,,
My First Fitness/Bikini Competition,$175,"$5,000",Competitions," August 4, 2016",3,1,PORTSMOUTH,NH,339000,,3
Miss Maine USA 2017,"$1,000","$3,500",Competitions," July 16, 2014",26,26,PORTLAND,ME,280000,,1
Dance Competition ,$825,"$2,700",Competitions," February 7, 2016",30,7,MINNEAPOLIS,MN,332000,,
National American Miss Sponsorship,"$1,800","$1,800",Competitions," March 1, 2016",40,6,KISSIMMEE,FL,331000,,21
Who Can Rock Da Crowd Finale!!!,"$1,615","$10,000",Competitions," July 8, 2015",26,14,JACKSONVILLE,FL,335000,,2
Mrs. NC's Road to Mrs. America!,"$3,735","$5,500",Competitions," May 31, 2016",78,3,CHARLOTTE,NC,330000,,
NPC Bikini Competition Funding Help,$170,"$2,500",Competitions," June 22, 2016",5,3,LAS VEGAS,NV,329000,,
Help Darian get to D2 SUMMIT!!!,"$1,500","$1,500",Competitions," April 21, 2015",23,17,CONCORD,CA,332000,,103
Watson Chapel  Academic Team ,$935,"$1,000",Competitions," February 24, 2016",31,7,PINE BLUFF,AR,333000,,2
Bre's NAM Pageant Sponsorship,$940,"$1,000",Competitions," February 12, 2016",26,7,LOS ANGELES,CA,299000,1,4
Costumes for dance,$25,$200,Competitions," March 29, 2016",1,6,EL PASO,TX,606000,,2
Brooke Harris For Miss Maine USA,$520,"$5,000",Competitions," May 12, 2013",8,41,FORT KENT,ME,295000,,6
Miss Massachusetts Teen USA 2017,"$1,000","$1,500",Competitions," July 20, 2016",19,2,TYNGSBORO,MA,293000,,1
2016 Miss Black Teen Texas USAM,"$3,500","$3,500",Competitions," April 6, 2016",69,5,,,289000,,7
Miss New Jersey USA 2017,$420,"$2,000",Competitions," August 10, 2016",4,1,HAMMONTON,NJ,295000,,1
IJM International Pageant Fees,$600,"$3,500",Competitions," December 1, 2015",17,9,LAUREL,MD,295000,,4
Miss Maryland USA Pageant,$995,"$1,500",Competitions," August 4, 2015",33,13,ROSEDALE,MD,292000,,
Miss Teen Albuquerque 2016,$530,"$1,000",Competitions," June 29, 2016",7,2,RUIDOSO DOWNS,NM,293000,,9
Alliance_PH 2.0 WOD LA & HHI ,$400,"$15,000",Competitions," June 18, 2016",8,3,MONTROSE,CA,292000,,
Baby Miss IL Pageant-Brielle,$220,$800,Competitions," August 26, 2016",10,1,JOLIET,IL,292000,1,
Road to Gallup!,$650,$650,Competitions," June 7, 2016",11,3,SCOTTSDALE,AZ,283000,1,10
Journey to Mrs. International,$350,"$1,500",Competitions," May 10, 2016",4,4,GERALDINE,AL,285000,1,13
Kamari's NAM Pageant ,$820,$800,Competitions," June 18, 2016",26,3,OXFORD,MS,283000,,
Help Me Get to Miss New York 2017 ,"$1,320","$2,500",Competitions," July 14, 2016",23,2,NEW YORK,NY,236000,,1
Help Stephanie go to Nationals,$780,"$5,000",Competitions," January 29, 2016",21,8,OMAHA,NE,285000,,5
Fundraiser for South Africa Trip,"$2,745","$5,000",Competitions," March 6, 2016",28,6,SOUTH BEND,IN,284000,1,1
Miss WV USA Pageant,"$1,315","$3,500",Competitions," August 13, 2016",18,1,26401,US,240000,,
Miss New York Teen Usa,"$1,335","$3,000",Competitions," September 10, 2014",22,24,MASTIC,NY,280000,,
Mary Beth for Miss MA-USA 2017,$800,"$2,000",Competitions," October 29, 2014",17,23,DERRY,NH,280000,1,1
MBTNYUSAM Ariel Metayer's Funding,"$1,435","$5,000",Competitions," February 9, 2014",28,31,HEMPSTEAD,NY,273000,,2
A Zebra's Dream Continues :)  ,$740,"$4,000",Competitions," March 6, 2016",13,6,RAYMOND,MS,274000,,9
Eliana for Miss JrTeen US,"$1,930","$6,000",Competitions," March 7, 2016",26,6,,,166000,2,3
Suzanne for Senior  America 2015 ,"$2,000","$2,000",Competitions," June 29, 2015",24,15,HAPPY VALLEY,OR,275000,,18
Miss Alabama Plus America 2016,$295,"$2,500",Competitions," April 20, 2016",9,5,BESSEMER,AL,270000,,2
Road to the worlds!!,"$3,440","$4,000",Competitions," June 17, 2016",31,3,HUNTINGDON VALLEY,PA,270000,,
2016 USA World Field Archery Team,"$2,140","$4,000",Competitions," July 4, 2016",33,2,MANDAN,ND,270000,,4
Support Kristina @ 2016MissAmazing ,$970,"$2,154",Competitions," March 26, 2016",22,6,,,273000,,7
Send Tiffany- National Miss Amazing,"$2,100","$2,100",Competitions," March 29, 2016",46,6,OKLAHOMA CITY,OK,274000,1,4
National American Miss Pageant ,$195,"$4,000",Competitions," July 31, 2016",5,1,PETERSBURG,VA,271000,,1
Portia's Grand Adventure ,"$3,999","$5,500",Competitions," July 19, 2016",27,2,GREER,SC,275000,,6
Miss Massachusetts Competition,$160,"$1,000",Competitions," July 25, 2016",5,2,FALL RIVER,MA,271000,,1
Miss Massachusetts USA 2017,$320,"$1,500",Competitions," September 8, 2016",6,17,BROCKTON,MA,276000,,
